Se ko:lotl wan se tsana	El Alacrán y el Zanete
Pampa kikakis itonana. No:pa inana kiihlihi para no:pa itonana ya istok palkalteno, wankino welkeh sanilohe nochi tle:n kipanotok.	La madre le dijo que la abuela es taba en el patio, por lo que pudieron hablar de todo lo que había sucedido.
Teipa no:pa okwichpil wan kiihtohi:	Luego el niño dijo:
-Niyas nikitati notonana	—Voy a ver a mi abuela.   
Iwan nopa inana motemahmatihi, kiihlihi:	Mas su madre, alarmada, le contestó:    
-¡Axkana xiya pampa mitsmiktis!	—¡Mejor no vayas porque te puede matar!
Nopa okwichpil kiyoltlalihi. Iwan yahi kiitatok itonana.	El niño la tranquilizó disuadiéndola de sus preocupaciones, pues ya vería que nada podía hacerle. Y se fue a ver a su abuela.    
Nopa tenatsi mokixtiltoya nopa itsonkal iwan kikixtiliyaya no:pa a:timime.	La anciana se había quitado el cuero cabelludo y lo estaba expurgando para quitarle los piojos.
No:pa okwichpil kiolcho achi tlalli lehok tlapa iwan nopiyo kiwal tepewilli tlalli ipan itsonteko iwan no:pa tenantsi axmomakak kwenta.	El niño juntó un poco de tierra, se subió al tapanco y desde allí le echó tierra en la cabeza sin que ella sse diera cuenta.
Kema nopa tenantsi kinehi sampa motlawilis nopa itsonkal ayohana welki wankino chokatehi.	Cuando la abuela quiso volver a ponerse su cuero cabelludo, no había modo de que pegara de nuevo en su cabeza y rompió en llanto. 
Wankino nopa iixwi monextihi iwan kiihlihi:	Entonces apareció su nieto y le dijo:
Ayohana xichoka tonana, nimits palewis, nimitskiktilis no:pa kwanextli ipan motsonteko iwankino no:pa okwichpil moyokwapki iwan platanki iwan kikixthi kwanextli.	-Ya no llores abuela, yo te voy a ayudar: te quitaré el polvo de la cabeza. Enseguida se transformó en mosquito y volando en me nos de un minuto le había quitado todo el polvo, así la abuela pudo volver a pegar el cuero cabelludo a su cabeza.
Henopa no:pa itonana sampa welki motlawilihi no:pa itsonkal wankino moixpanketske iwan no:pa okwichpil kiihlihi:	Entonces quedaron frente a frente y el niño, muy decidido, le expresó:
-Mehatsa na san niokwichplil iwan ta: titoawi, ¿nama tikitase ahiya nehlotl?	-Aunque yo sea un niño y tú una señora, ¿qué te parece, abuela, si vemos quién puede más?
Wankino no:pa tenatsi kiihlihi para kena. Wankino no:pa okwichpil pehi:	Ella estuvo de acuerdo y el pequeño continuó:
-Na: ni tepewas ipan tlalli aholli, iwan kema nimokwapas ta: titlalantosa yon tlalli.	—Yo voy a regar en el suelo una taza de ajonjolí, y cuando regrese ya tú habrás recogido todo, sin tierra, sin nada.   
Kema mokwaphi kiasito no:pa itonana san achi kipepentoya iwan nohia kipiyaya tlalli.	Cuando regresó encontró que su abuela había juntado sólo un poco y además tenía tierra. 
No:pa okwichpli pehi wetska, peki kipoktiya, iwan kiihlihi.	El niño se burló de ella y le dijo: 
Henopa axkana tonan tlawel miak kipiya tlasolli iwan no:pa itonana kinankilihi:	—Así no, abuela; echaste mucha basura. A lo que la abuela respondió:
-Weno, wankino nama na: nichiwas.	-Bueno, pero ahora me toca a mi.
Na: nitepewas watli, nimaltiti iwan kema nimokwapas ta: tipepentosa nochi.	Yo voy a regar un kilo de amaranto, me iré a bañar y cuando regrese ya la habrás juntado toda.
No:pa okwichpil kinotski totome iwan kipalewihe, san se tlahtotsi kipepentoya nochi no:pa walli.	El niño llamó a los pájaros para que le ayudaran, en un minuto ya había recogido todo el amaranto.
Kema mokwapki no:pa itonana, no:pa okwichpil kiihlihi sampa ma: tichiwakah tiwanti:	Cuando regresó la abuela, el niño siguió con los retos:
-Nama tikitase ahiya tlatania. Tiomeh tiwalika se a:tl ipan se red. Ta: tiyas achtowi.	-Ahora amos a ver quién gana. Los dos traeremos agua del río en una red, tú vas a ir primero.
Wankino yahi no:pa itonana mosisinitok, pampa kiwalikayaya san no:pa red.	Fue y volvió la abuela ahora enojada, pues traía la red vacía.
kwichpil sampa kipaktihi pampa ya: nohia yahi a:teno iwan ya kena kiwalikak a:tl ipan no:pa red kema kiitak no:pa tenatsin mosisinihi pampa no:pa iixwi tlatalnki iwan kwasasik.	El niño volvió a burlarse de ella, ya que él fue al río y regresó con el agua dentro de la red. Al verlo, la anciana estalló en ira porque en todo su nieto había ganado, y gritó:
-¡Nama na: mitstlatis!	—¡Ahora yo te voy a quemar!  
Kichihi se titl ipan se horno iwan kema totonixki kikalakihi no:pa okwichpil, pero ya; achtowi no:pa okwichpil sampa momoyokwaptoyaya. Iwan platatehi.	Echó leña al horno y cuando estaba ardiendo, metió al niño. Pero antes de entrar al horno, el nieto ya se había convertido en mosquito y se fue volando.
Nopa itonana kitemilihi ahiyok kwawitl iwan kema kikahi tlatlatsinki/ tlataponki, moihlihi para no:pa okwichpil  motlamiltihiya. Seyok tonati wehi kitlatanki se kwabateya iwan se kuchillo para kitlapos no:pa horno iwan kikaktehi kema kinonotski no:pa iixwi, kitlahtakoltiya:	La abuela le echó más leña y cuando oyó que tronó, pensó que ahí acababan los días del niño. Al otro día se levantó temprano, cogió una bandeja y un cuchillo para destapar el horno cuando atrás le habló su nieto acusándola:
-Tinekiyaya tine:chkwas kema nimiktok ¿axkana? Pero nika niistok nama. Na: nimitstlamis.	Pensabas comerme muerto y cocido, ¿no? Pero aquí estoy y ahora me toca a mí.
Wankino no:pa okwichpil kitlalwilihi no:pa horno iwan kema kwalli lementoyakikalakihi nopiyo nopa itonana iwan teipa kikixtehi no:pa kwanextli iwan kiihlihi no:pa ke:chpetsi ma: kitepe:wati ipan a:tl iwan kiihlihi para amo ma: kite:ntlapo nopa kaja pero kenihkatsa no:pa ke:chpetsi kikakiyaya tlamantli iitiko no:pa kwakajo kite:ntlapohi iwan kiistehe nochi sayolime iwan kikwahe.	Y el niño metió más leña al horno, cuando ya estuvo candente la aventó dentro de él. Luego sacó las cenizas y le encargó al sapo que fuera a tirarlas al agua, advirtiéndole que no fuera a destapar la caja que la llevaba, pero como el sapo oía un ruido dentro de la caja la destapó y salieron toda clase de moscas ponzoñosas que empezaron a picarlo. Rápido, el sapo cerró la caja y la soltó en el mar.
Wankino no:pa ke:chpetsi kitsahi no:pa kwakaho iwan kimakahi ipan ramal, no:pa ke:chpetsi asiko mokokopechtok iwan kitlapowiliko no:pa okwichpil tle:n kipanok.	El sapo llegó todo roñoso de piquetes de mosca a contarle al niño lo sucedido. Al otro día el niño afiló su cuchillo y emprendió el camino al mar, donde se encontró con un enorme lagarto que quería devorarlo.
Seyok tonatii no:pa okwichpil kite:ntihi ikwchiyo iwan yahi ipan ramal kampa moasik iwaya se weyi tekwani. Iwan kinekiyaya kikwas. Wankino no:pa okwichpil kiihlihi tla: tineki tine:chkwas ack¿hiyo ximokamatlapo, no:pa tekwani weyi kamachalki iwan no:pa no heni welis para welis nimahawas tlapetlanti.	Entonces el pequeño le advirtió: —Si quieres comerme necesitas abrir más la trompa. El lagarto abrió más la trompa y el niño le cortó la lengua con su cuchillo. Se quedó su lengua relampagueando y pensó en voz alta: —Esto va a servir para dejar caer rayos.  
Iwan kitleholtihi ipan ilwikatl.	Y la subió al cielo.
Eltoya se tlakatl iwaya isiwa tle:n axkinpiyayah ikonewa.	Había una vez una familia formada por un señor y una señora que no tenía hijos.
Nopa tlakatl tlawel tekitiyaya, ipan junio mestli kitokayaya ayotli, wan kimoihliyaya para lema tlakis/onkas kikwas pilyamaktsitsi, chikawatsitsi.	El señor era muy trabajador, en el mes de junio sembraba calabazas, pues pensaba que cuando se dieran, se las iba a comer tiernas o macizas. 
Wankino nopa ayotlu moxahaniyaya iwan axtle:n tlakiyaya.	No obstante, la mata se extendía y se extendía, y no daba nada, hasta que por fin dio una calabaza.
Pero teipa kena tlahi san se ayotli wan tlawel kimokwitlawiaya iwan axkinehi kitekis pilsetsi kinehi ma: kwalli chikawiya pampa yehyektsi wewiyak iwan wextik.	Como era única la cuidaba mucho y no la quiso cortar tierna; quiso que se amacizara bien porque era una calabaza grande y un poco larga.
Panok tiempo (tlapano) iwan se yewatsinko kema nopa tlakatl asito imilla kiasito nopa ayotli tlaho tlapantok.	Pasó el tiempo y una mañana, cuando el señor llegó a su milpa, encontró la calabaza cortada por la mitad.
Wankino kiitak iitiko nopa ayotli itstok se konetsin ya tlakatok wan tsatsitsi, wan tsatsitsi.	Para su sorpresa, en medio se encontraba un niño recién nacido que lloraba sin cesar.
Wankino kitlalanki nopa konetsi iwan kiyolyamani, kikwanawahi iwan kiwikilihi isiwa para ma: kichichitik pero nopa toawi akinpiyaya ikonewa axkimatiyaya kenihkatsa kimokwitlawis iwan novia motemahmatihi pampa nopa konetsi tlakakti ipan se ayotli.	Con delicada ternura paterna, aquel señor levantó al niño, lo cargó y lo llevó a su mujer para que le diera de mamar. Pero como la señora no tenía hijos, no sabía cómo atenderlo y, además, se había sorprendido mucho de que un niño naciera de una calabaza.
Ipan nopa chantli pehi mosentiliah pampa kimatkeh nopa tlamantli.	En la casa de la familia comenzó a reunirse mucha gente atraída por la gran noticia.
Nopa konetsi tsatsiyaya wan tsatsiyaya yeka se keski siwame mote:nkahe para kichichitise pero nopa konetsi axkinehi iwan mehmelka.	El niño lloraba mucho, de modo que algunas mujeres le ofrecieron su pecho para que mamara, pero el niño no quiso y siguió gimiendo. 
Kite:mohe miak tlamantli para kitlamakase nopa konetsi pero axtlen onkas.	Buscaron muchas formas de alimentarlo, mas todas éstas fueron en vano.
Teipa kimoihlihe kipopochwise ika kopalli iwankino henopa welki kochki.	Por último, se les ocurrió sahumarlo con copal y fue como finalmente pudo quedarse dormido. 
Desde panopa tonati kema chokayaya kitlalwiyaya kopalli.	Desde ese día, cada que lloraba le ponían copal.
Nopa konetsi tle:n axkema kimehi chichiwalli moiskalti yolik, iwan twipa moyolchikahi, iwan pehi nehnemi.	Aquel niño que nunca quiso chichi fue creciendo poco a poco y pronto, como todos, empezó a caminar.
Kenihkatsa itatawa tlawel kineliyaya kititankeh escuela; wankino nopano mokwapki tlawel axkwalli okwichpil, tlawel tlatewihetl.	Como sus padres lo querían mucho, decidieron mandarlo a la escuela; sin embargo, allí se volvió muy rebelde y peleonero.
Yeka no:pa tlakatl moihlihi para ma: kikwa:ltik iwan itiota maehli totatsi, para ma: kiyahwechi.	Debido a esto, el señor pensó en bautizarlo y que su padrino fuera el cura para que le echara agua bendita.
No:pa tlakatl mochiyaya para no:pa konetsi axmolkwaltlaliyaya.	Esperaba que se compusiera estando en la casa de Dios.
Nopa konetsi kiamatiyaya san yas a:lteno maltiti.	Tiempo después, así lo hicieron, pero el niño seguía igual de malo y de travieso.  
Kema mawiltiyaya ika a:tl, no:pa a:tl mosonewayaya wan ya: no:pa tlawel kinmatiyaya.	A él sólo le gustaba ir al arroyo a bañarse.
Yeka kema welis yas escuela, ya: axkana yowiyaya ika a:teno, se welta kema kitato a:temo iwaya iwampoyowa kema itstoyah tleho a:teno, pehi mawiltiya ika a:tl wankino no:pa a:tl mosonehi: Yeka nopa mowampoyowa nochi mihe, nochi atokokeh. No:pa itatawa no:pa koneme yahe kikwalanito no:pa totatsi iwan nohia itatawa okwichpil pero inihwa:ntih axtle:n kichi:he pampa inokwichpil ya: san Konetsi.	Cuando jugaba con el agua, el agua crecía paulatinamente y eso era lo que más le gustaba. Por esta razón, cuando se suponía que debía ir a la escuela, mejor tomaba el camino hacia el río. Hubo un día en el que visitó el río con sus compañeros y cuando ya todos estaban dentro, empezó a jugar con el agua, la cual creció como de costumbre provocando que sus amigos murieran ahogados. Los padres de los niños ahogados fueron a reclamarle tanto al cura como a los padres del chiquillo, pero ellos nada le podían hacer a Juan, ya que era una criatura.
Tle:m achiyok kichihe kiahwake iwan no:pa okwichpil san istoya.	Lo más que hicieron fue regañarlo, aunque, a decir verdad, él estaba como si nada.
Itiota no:pa okwichpil kema kiitak, pero no:pa itiokone san istok kiahwak iwan kiihlihi:	Su padrino, viendo que a Juan todo le parecía indiferente, se enojó y lo sentenció:
-Tla tiyolpaki achiyok ipan a:temitl iwan ipan axkana xiistoti ipan a:temitl.	—Si estás más contento en el río que en la casa, ¡vete a vivir al río!
Wankino Juan kinankilihi itiota:	Entonces Juan le respondió a su padrino:
-Tla tineki, ma niya, pues kena niyas. San nineki se favor: xine:chmaka se kwatopilli para noohwi.	—Si lo que quieres es que me vaya, pues sí, me voy. Sólo quiero pedirte un gran favor: que me des un bastón para el camino.
No:pa totatsi kimakak se kwatopilli, iwan no:pa okwichpil yolpaktok yahi ika a:teno, kampa kalakitgo wika tiahi pero nama mochhi weyi tlamanili iwan kakistik se tlamantli.	El cura le dio el bastón y, fascinado, el niño se dirigió al río, donde cantando se metió nuevamente al agua, pero esta vez fue distinto: se hizo un gran remolino y se escuchó un ruido estrepitoso.
Kema tlanki no:pa tlamantli no:pa okwichpil (Juan) polih kiihtowa para no:pa okwichpil kichih ichi ipan no:pa a:tl.	Al término de dicha escena Juan desapareció.
Yeka ipan kema asi sempowalli wan nawi ipan junio mestli tlawel tlawe:tsi iwan tlatomoni pampa no:pa tonati no:pa San Juan.	Se dice que en el agua hizo su casa y por eso cada veinticuatro de junio llueve mucho y hay truenos, porque ése es el día de San Juan.
Ipan no:pa mestli (kakistik) tlakakisti iwan ya: tlamawatiya ichinanko ipan a:tl.	En tal fecha se oye la fuerza y el mando que tiene sobre el mar que fue su morada.
