kwookwilkwowit,	kwookwilkowit,
Ixwa sayoh yetok, yetok to:nal sah ke:man, ke:man ixwa yo:n.	Nacen las plantas pero nada más por temporada, nacen esas.
wa:n poliwi.	y desaparece.
Yehwa n' tein para pahti no: kikwih. Ke:mah.	Ese es el que también lo usan para curar. Sí.
Yeh no: xo:chiowa,	Ese también florece,
¿No: xo:chiowa, ke:niwki n' ixo:chio?	¿También florece, cómo son sus flores?
tikita n' ixo:chio, ne:n, yeh ke:meh yo:n,	si ves su flores de esta planta, este, son como el,
¿ke:niwki ne:n ixo:chio?	¿Cómo son sus flores?
onkak wa:n sepa tikitas a:mo tei ok.	hay unos meses y después te vas a dar cuenta que ya no hay.
Yehwa yo:n nimitsilih yo:n achi onkak.	Ese es del que te digo que abunda un poco más.
yo:n tawakalkopa,	por la cañada,
yo:n xi:wit.	esa planta.
Neh nimono:tsa Rubén Macario Martínez.	Yo me llamo Rubén Macario Martínez.
Nochi a i:n a:tsi:tsika:s Rubén, a:man xte:chili ne:n ka:n tiwa:le:wa, wa:n ka:nachi xiwit tikpia wa:n moto:ka:y.	Es todo lo del <i>a:si:tsika:s</i> don Rubén, ahora dínos de donde vienes, cuantos años tienes y cómo te llamas. 
Neh niwa:le:w de Chi:lkowtah, Tzinacapan.	Vengo de Chi:lkowtah, Tzinacapan.
Onkak seki xiwit, mono:tsa kwi:kwilehkaw.	Hay una planta que le llaman kwi:kwilehkaw.
wa:n wehwei moskaltia n' ixo:chiotsi:n.	y sus flores crecen grandes.
n' ompa pe:wa sepa selia.	ahí empieza a retoñar.
To:chimeh kikwah wa:n kikwah no:, ne:n, kwa:kowehmeh	Los conejos se alimentan de las hojas y también los reces
Nochi yo:n tapialmeh kikwah.	Todos esos animales se comen las hojas de esta planta.
entó:s pe:wa pala:ni.	entonces empieza a podrirse.
kipia n' ikowyotsi:n kwi:kwiltik.	tiene su tallo de color moteado.
Onkak, onkak ma:kwi:l taman.	Hay, hay cinco tipos.
Onkak mi:lahehkaw,	Hay uno que le llaman milahehkaw,
wa:n onkak mi:ltampaehkaw,	y hay mi:ltampaehkaw
wa:n ompa onkak kwomekaehkaw.	y también hay kwomekaehkaw.
A:mo nikmati kox, ox tikahsika:matik a ke:meh nimitsilwih.	No sé si ya entendiste por la forma en que te dije.
kwi:kwilehkaw.	kwi:kwilehkaw
wa:n onkak komekaehkaw,	y hay komekaehkaw
wa:n onkak kostikehkaw,	y hay kostikehkaw,
¿Wa:n ti:ltik?	¿Y el negro?
Wa:n ti:ltikehkaw.	Y el ti:ltikehkaw.
Ehe. A: yehwa, nejó:n, neh nimitsilia. Wa:n yo:n, yo:n xiwtsí:n	Ehe. Esa, este, yo te digo. Y esa, esa plantita
[kwal]tsi:n mochi:wa.	se da muy bien.
Sah nikihtowa mi:lahehkaw.	Dices que hay mi:lahehkaw.
ka:mpa mi:lah. Yeh [i]ka kito:ka:ytiah mi:lahehkaw.	en la milpa. Por eso le llaman mi:lahehkaw.
Wa:n komekaehkaw,	Y el komekaehkaw,
kwamekaehkaw yo:n mochi:wa kahfe:ntah.	el kwamekaehkaw se da en el cafetal.
Yo:n ka:mpa, ka:mpa, ka:mpa onkak, ka:mpa, ka:mpa onkak kwomekaehkaw,	Ahí es donde, donde, donde hay, donde, donde hay kwomekaehkaw
semi xtako:wtamati, tapala:ntok.	debes de confiar que ha de haber mucho abono.
wa:le:wati tatampa de n' mi:l nochi yehwa yo:n ehkaw kilwiah mi:ltampaehkaw.	nacen las plantas debajo de la milpa y todas son las plantas de mi:ltampaehkaw.
No: moskaltia pero ke:meh i:n ka:mpa, ka:mpa tikihtowah tehwa:n ka:mpa tehteyoh.	También se da pero como en donde, donde nosotors le llamamos donde hay algunas piedras.
No: mochi:wa nejó:n wa:n ka:mpa kahfe:ntah.	También se da este y en los cafetales.
Wa:n kwi:kwilehkaw, nejó:n, mochi:wa no: ka:mpa kahfe:ntah.	Y el kwi:kwilehkaw este, se da también en los cafetales.
¿Wa:n o:n mi:lahehkaw niman mi:ltampaehkaw.	¿Y el mi:laehkaw luego el mi:ltampaehkaw.
¿No:, no:, no: taman?	¿También. también, también es diferente?
Nochi ihkó:n tamati.	Todas se parecen así.
¿Wa:n ke:ní:w, ke:ní:w sekneka, ke:no:n, ke:no:n no: taman?	¿Y entonces cómo se sabe que son, que son diferentes?
Mah tikihto:ka:n ke:meh eskia, mah tikihto:ka:n ke:meh eskia i:kni:meh.	Digamos como si fuera, digamos como si fueran hermanas.
tepitsi:n kipata porin ixiwyo ma:we:weyak	se ve la diferencia porque sus hojas son más alargadas
wa:n ma:xaxakachtik.	y las hojas son rasposas.
Wa:n ti:ltikehkaw kiliah, ti:ltikehkaw kiliah	Y el ti:ltikehkaw, le llaman ti:ltikehkaw así le llaman
Pero n' ikowyo ti:ltik.	Pero el tallo es negro.
Pero yo:n a:mo ta:ki, a:mo teh kipia ita:kilo, tamela:wa xo:chitsí:n sah.	Pero ese no produce semillas, no tiene semillas son puras florecitas nada más.
Wa:n kwi:kwi:lehkaw, kiliah kwi:kwi:lehkaw	Y el kwi:kwilehkaw, le llaman kwi:kwilehkaw
pos yeh a:mo, a:mo, a:mo mowila:na, sano ke yeh tamela:wa moskaltia sah.	pues esa planta no, no, no se arrastra, sino que crece así nada más.
Mm.	Mm.
Ajá.	Ajá.
N' ixiwyo.	Sus hojas.
A:.	A:.
Pero n' ixo:chio, yehwa, yehwa n' ehkaw.	Pero sus flores son, son del ehkaw.
Sayoh kipata n' ixiwyotsi:n sah.	Lo que cambian son las hojas nada más.
Yehwa sah nejó:n, ke:mah.	Nada más, sí.
Kostikehkaw. Mm, kostikehkaw yeh,	Kostikehkaw. Mm, el kostikehkaw
wa:n ixo:chiotsi:n.	y sus florecitas.
¿Wa:n nika:n onkak?	¿Y aquí si hay?
Kalta, nikita u:n ehkaw.	En Kalta se puede ver el ehkaw.
¿A:mo kostikehkaw?	¿El kostikehkaw no?
Se: kiahsi. Ke:mah ka:mpa mi:lah.	Se encuentra. Sí en la milpa.
Nochi nejó:n nochi sepa seko sah mochi:wa nejó:n.	Todo este se da en un sólo lugar.
Mm. No: etok sah ne:n [ka:m]pa mochi:wa, a:mo nochi.	Mm. Se da en un lugar apropiado nada más, no en todos lugares.
¿Yehwa sah? Mm.	¿Nada más? Mm.
Mm.	Mm.
Onkak se:, onkak seki xiwtsi:n mono:tsa itskwimpahtwits.	Hay una, hay una plantita que se llama <i>itskwimpahtwits</i>.
Yo:n itskwimpahwits moskaltia,	El <i>itskwimpahtwits</i> crece, 
Ka:mpa yeski mochi:wa yo:n, yo:n a:mo moneki tikto:kas, yo:n mochi:wa sah.	Se da en cualquier lugar esa planta, esa no hay necesidad de cultivarla, se da sóla.
Kipia witsti n' ixiwyo wa:n ikowyo no: kipia witsti.	Sus hojas tiene espinas y el tallo también tiene espinas
kipia witsti wa:n ixiwyo kipia witsti.	tiene espinas y las hojas tienen espinas. 
¿ke:n nimitsilwi:s? ohololtik. Ohololtik ke:meh,	¿cómo te diré? son boludas. Son unas bolitas como,
Ihko:ni ohololtik.	Así son unas bolitas.
Yehwa yo:n.	Eso es.
Pero yo:n tehwa:n tikwih no: para pahti.	Pero esa planta nosotros también la ocupamos para curar.
Yo:n no: kwaltia para pahti.	Ese también es medicinal.
xiwtanechiko:l	hacen el <i>xiwtanechiko:l</i>
ika ma:ltiah.	la usan para bañarse.
Pero a:mo sayoh yehwa sah n' itskwimpahwits, kikwih miak, kikwih miak taman xiwit.	Pero no se usa sólo el <i>itskwimpahwits</i>, ocupan varias plantas. 
Oksé: n' ixiwyo no: kwaltia,	Otra cosa, las hojas también se usan,
no: kwaltia para ne:n	también se usan para este
pilimeh ika kimpahtiah.	curar a los niños.
Yo:n pilimeh ata kipiah, ke:masá: eliwis tenah,	Cuando los niños tienen, a veces se quejan como si tuvieran un dolor
yo:n, eliwis mahyá:, mahyá: tenatokeh.	a cada rato como si se estuvieran quejando.
Yo:n kipiah seki okwiltsitsi:n,	Esos niños tienen un bichito,
a:mo, a:mo nikmati ke:ní:w mono:tsa n' koyo:kopa.	no, no sé cómo se llama en español.
Pero onkak seki okwiltsitsi:n.	Pero hay unos animalitos.
Entó:s yo:n okwiltsitsi:n, kikwih n' ixiwyo de n' itskwimpahwits	Entonces para combatir a los bichos. toman las hojas de <i>itskwimpahwits</i>
Wa:n ompa ki:sa yo:n okwiltsitsí:n.	Y entonces salen los bichitos.
Mm. Yo:n okwiltsitsi:n,	Mm. Esos bichitos.
okwilohkeh m' pilimeh.	porque los niños tienen bichos.
Ika yo:n itskwimpahwits ika kinki:xtiliah.	Con las hojas de <i>itskwimpahwits</i> salen los bichos.
Wa:n onkak sentaman no:, no: ki[ni]na:miki m' pilimeh, kinimakah pahpata.	Y hay otra cosa también que se puede ocupar para curar a los niños, les dan el plátano.  
Ke:mah.	Sí.
Pero no: kwaltsi:n, no:, no: semi kwali yehwa n' itskwimpahwits tikihtowah.	Pero es bueno, también es muy bueno del que platicamos, el <i>itskwimpahwits</i> .
Yehwa yo:n, a:mo nikmati	Eso es, no sé
¿Wa:n ke:no:n, ke:no:n, ke:no:n kikwi se:?	¿ Y cómo, cómo, cómo se usa?
kikwih n' ixiwyo sayoh. Pero xoxowik, a:mo kimolo:ntiah.	sólo ocupan las hojas. Pero las hojas verdes, no las hierven.
Yo:n iwki xoxowik ke:meh eskia kikwih,	Esas hojas las ocupan verdes, 
Ika kixakwalowah para ki:sah ya n' okwiltsitsi:n.	Los frotan con las hojas para que salgan los bichos.
Wa:n ompa, ompa ya pe:wa ki:sah n' okwiltsitsi:n mahyá: ihkochtsitsi:n,	Y entonces empiezan a salir los bichos como si fueran unos gusanitos,
yehwa n' tein pilimeh kinkwehmolohtok.	esos son los que  están molestando a los niños.
A:mo yo:n, a:mo moneki se: kimanas, para se: ma:lti:s ke:mah.	No, esas no, no hay necesidad de hervirlas, si es para bañarse sí. 
kikwih yo:n tepitsi:n yo:n xiwtanechiko:l	ocupan un poco el <i>xiwtanechiko:l</i>
yo:n kipia ke kimolo:nti:skeh.	ese si tienen que hervirlo.
Kimolo:ntiah iwa:n itskwimpahwits	Hierven junto con el <i>itskwimpahwits</i>
wa:n kise:wiah.	y lo enfrían.
Mah se:wi,	esperan que se enfrí e,
wa:n ke:mah ika ma:ltia ya ne:n, ma:ltia ya n' kokoxkeh komohkó:n mokowa.	y luego se bañan con eso, ya se baña el paciente si es que está enfermo.
xa: oksé: talna:miki:lis,	tal vez quieras saber algo,
¿kinina:ltia?	¿Las bañan?
Kina:ltiah.	Las bañan.
mah ika se: ma:lti no: te:na:miki.	también se puede uno bañar con esas hojas, también se cura uno.
se: kipia ehekat.	tiene uno mal aire.
mah ika se: ma:lti yo:n, no: te:na:miki.	hay que bañarse con esas hojas y también se cura uno.
Yehwa yo:n nimitsilia.	Eso es lo que yo te platico.
mah ika se: ma:ma:lti ika ne:,	hay que bañarse muchas veces con esas hojas,
no:, no: te:na:miki.	también se pueden usar para curarse uno.
Yehwa yo:n ika ma:ltiah. Mm.	Con esas hojas se bañan. Mm.
A:mo nikmati xa: oksé: tatsi:ntokalis,	No sé si tienes otras preguntas.
Pero tikihtowa yewa ke:tla:, ¿se: kimolo:ntia?	Pero dices que las hojas ¿se hierven?
Okseki xiwit, a:mo yehwa sah.	Otras hierbas no sólo esas.
Ke:mah. ¿To:ni, toni oksé: xi:wit?	Sí. ¿Cuáles otras hierbas?
Komoke mah tikihto:ka:n tehwa:n,	Como que digamos nosotros,
tikihtowah tikwih itskwimpahwits,	Decimos que usamos el <i>itskwimpahwits</i>,
tikwih pi:na:wits, tikwih kwomo:so:t,	ocupamos el <i>pi:na:wits</i>, ocupamos el <i>kwomo:so:t</i>,
tikwih mi:lahmo:so:t,	ocupamos el <i>mi:lahmo:so:t</i>,
tikwih a:tsi:tsika:s,	ocupamos el <i>a:tsi:tsika:s</i>,
tehtsonkil, witsto:tomat,	<i>tehtsonkil</i>, <i>witsto:tomat</i>,
xo:kihya:k pesma,	<i>xo:kihya:k pesma</i>,
chohpixiwit, mm, chohpixiwit.	<i>chohpixiwit</i>, mm, <i>chohpixiwit</i>.
Yehwa yo:n wa:n tsiktsi:n chirimo:yahxiwit.	Eso es y algunas hojas de chirimoya.
Yehwa yo:n mah 'ta:lili:ka:n. Yo:n miak taman xiwit, mokwi ke:meh se:,	Esos son los que hay que juntar. Se ocupan muchos tipos de hierba, se ocupan como unos,
Yehwa yo:n kito:ka:ytiah xiwtanechiko:l.	Eso es lo que le llaman <i>xiwtanechiko:l</i>.
de miak tikwih, de miak xiwtsitsi:n tikwih.	ocupamos muchas, ocupamos muchos tipos de plantas
Nochi, nochi xiwit. Nochi n' ixiwyotsi:n yo:n, yo:n,	Todas, todas las hojas. Todas las hojas del, de,
Se: kimolo:ntia	Se hierven.
wa:n mah se: kita:li mah se:wi.	y hay que esperar para que se enfríe.
Wa:n ompa ke:mah mah se: ma:lti a ika yo:n.	Y entonces ya hay que bañarse con esas.
te:na:mikis. Ta:ká:n tikpia nemowtil,	te va a hacer efecto. Si tienes susto,
te:na:mikis. Ta:ká:n ticha:wisti,	también hace efecto. Si padeces de anemia,
te:na:miki.	da efecto.
se: cha:wiskwi, te:kokoh se: itsontekon,	padece de anemia, tiene uno dolor de cabeza,
Pos yehwa yo:n mah ika se: ma:ltia yo:n.	Pues con esas hojas hay que bañarse.
mosenkwi a nochi ne:n mahtaktiomo:me taman xiwit.	se juntan todas las doce tipos de hierbas.
para katí:n eski kokolis, para katí:n eski kokolis, nejó:n, kipahtia.	para cualquier enfermedad, para cualquier enfermedad, este cura.
Mm. I kwahli, kwali a.	Mm. Es todo, es todo.
Onkak seki xiwit mono:tsa ma:talin.	Hay un tipo de hierba, se llama ma:talin.
Yo:n ma:talin kilwiah onkak o:me taman.	Ese, al que le llaman ma:talin, hay dos tipos.
Onkak n' tein ista:k,	Hay un blanco,
<i>Pero primero</i> nimitsilia n' tein ista:k ma:talin kilwiah moskaltia <i>más</i> wehwei n' ikowyotsi:n,	Pero te digo, que el que lo conocen como ista:kma:talin, al crecer, los tallos son más gruesos,
wa:n <i>más</i> wehwei n' ima:xiwyotsi:n.	y las hojas son más grandes.
N' ima:xiwyo ma:we:weyak	Las hojas son alargadas.
wa:n ikowyo <i>más</i> tohtoma:wak,	y el tallo es más grueso,
wa:n ixo:chiotsi:n ista:k,	y las flores son blancas,
ista:k.	son blancas.
Yo:n, yo:n kwaltia, yo:n kwaltia ne:n ma:talin,	Ese, ese sirve, el ma:talin sirve, 
Se: motsonteki wa:n mah se: kitekili n' ikowyotsi:n,	Cuando uno se corta con el machete y que uno corte el tallo,
wa:n mah se: kipa:tska.	y que uno lo exprima.
Ka:mpa se: moteki mah se: ki:xpepechowili.	Que se lo unte a uno en la parte que se ha cortado con el machete.
Para pe:wa ki:xwa:tsa no:, ki:xpanki:xtia wa:n pe:wa wa:ki.	Así también empieza a cicatrizarse, hace que cicatrice y va sanando.
Wa:n no: kwaltia para tapialmeh.	Y también es bueno para los animales.
Kikwah, <i>este</i>, pitsomeh.	Los puercos comen esta yerba.
Kikwah piomeh, to:tolimeh,	Los pollos, los pavipollos también lo comen,
kwa:kwehmeh, <i>caballomeh</i>.	las reses, los caballos.
¿Ke:yeh? Kitelwelitah porin a:yoh.	¿Porqué? Les gusta porque contiene mucha agua.
Wa:n semi telkwali.	Y es muy bueno.
Ka:mpa onkak, ka:mpa onkak yo:n ma:talin,	En donde hay, en donde hay ese ma:talin,
nochipa ya n' takwecha:wtok.	siempre hay bastante humedad.
<i>o</i> para mi:l,	o para siembra de maíz,
<i>Porque</i> yo:n ma:talin, <i>cuando</i> pe:wa pala:ni,	Porque ese ma:talin, cuando empieza a pudrirse,
de pala:ni a, mokepa mahyá:, mahyá: <i>abono</i> ma:talin, <i>bueno</i>, ta:ltsí:n <i>pues</i>.	una vez que ya se pudre el ma:talin, se convierte como abono, bueno se convierte en suelo pues.
<i>Mismo</i> yehwa, <i>mismo</i> yehwa n' ma:talin, sano ke tikihtowah tehwa:n,	Es el mismo, es el mismo ma:talin, pero nosotros decimos,
Wa:n porin <i>más</i> pisi:ltik, yeh [i]ka tikto:ka:ytiah tehwa:n pisi:lma:talin.	y porque es más pequeño, por eso lo conocemos como pi:si:lma:talin.
Para piomeh, para to:tolimeh,	Para pollos, para pavipollos,
para pitsomeh,	para puercos,
<i>o para, este</i>, kwa:kwehmeh <i>o caballos</i>.	o para, este, las reses o caballos.
<i>Porque</i> yo:n tikiliah tehwa:n icho:kilotsi:n, <i>por eso</i> nimitsilia neh yo:n mahyá: ki:sa, mahyá: sasaltik.	Nosotros le llamamos como savia por eso yo te digo, ese sale como,  como pegajosa.
Yehwa yo:n, a:mo nikmati xa: oksé: talna:miki:lis, tikpias tatsi:ntokalis?	Eso es, no sé, quizá tengas otra idea, tengas otra pregunta.
¿Para kahfe:ntah, no:, no:,	También para los cafetales,
A:, yo:n no: kwaltia para kahfe:ntah.	Ah, ese también es bueno para los cafetales.
Yo:n ma:pisi:lma:talin no: kwaltia para kahfe:ntah. Ke:meh i:n ka:mpa kahfe:ntah,	Ese ma:pisi:ma:talin también sirve para los cafetales. Como en los cafetales,
kwelitah miak <i>porque</i> para se: tawi:tekis,	les gusta mucho porque al chapear,
a:mo takwa:wak.	no es duro.
Pero yo:n tehwa:n a:mo tikmatih,	Pero eso, nosotros no lo sabemos,
yo:n ma:talin, ma:talin a:mo <i>porque</i> mah tikihto:ka:n tehwa:n ma:talin, i:pa ma:talin sah. Yo:n tikmatis de toni mokepa.	ese ma:talin, el ma:talin, no podemos decir que es simplemente un ma:talin. Sabes de qué proviene.
Onkak seki sakat,	Hay un tipo de zacate,
"¡Xkitaka:n!" kihtowa, "name:chili:ti ke:ní:w nakichi:waskeh", kihtowa.	¡Vean! dice, les voy a decir cómo lo van a hacer, dice.
"¡Xikte:xi:maka:n!" kihtowa yo:n patachsakat kilwiah.	¡Tumben! dice, ese, al que le llaman patachsakat
Onkak seki kiliah patachsakat.	Hay uno que le llaman patachsakat.
"A:mo ixwati:w sakat ok, sano ke ixwati:w ma:talin ya", kihtowa.	Ya no va a germinar el zacate, sino el ma:talin", dice.
Wa:n nikneltokak <i>porque</i> se: <i>vez</i> neh iwki nikchi:w.	Y lo creí porque una vez así lo hice.
Nitawi:tek, onkaya miak patachsakat	Chapeé, había bastante patachsakat
wa:le:wato nochi ma:talin.	nació puro ma:talin.
<i>Hasta</i> ompa ke:mah nikneltokak.	Hasta ahí lo creí.
Takah yo:n ma:talin, tikihtowah tehwa:n ma:talin a:mo <i>porque</i> i:pa ma:talin, moskaltia ma:talin	Pues ese ma:talin, nosotros decimos que es ma:talin, pero no es simplemente un ma:talin, crece como ma:talin
sano ke yo:n mokepa. Tein sakat, sakat katka, patachsakat katka mokepa ma:talin.	sino que ese, se convierte. Lo que era zacate, era zacate, el patachsakat se convierte en ma:talin.
Mm, wa:n a:kin ya, a:kin ya se: kinekis mah se: kitahtani, tein,	Mm, y a quien, a quien uno quiera preguntarle, lo que, 
"Tikmatis toni", kihtowa, "¡Xikita yo:n patachsakat", kihtowa,	Sabes qué, dice, "¡Ve el patachsakat!" dice,
"ka:mpa telonkak patachsakat wa:n xtawi:teki", kihtowa, "wa:n	"donde hay bastante patachsakat y chapeas, dice, "y
sepa iwki nikchi:wak. Nikihto nitawi:tekiti wa:n nikitati kox, kox neli <i>o</i> a:mo neli.	así lo hice. Dije, voy a chapear y voy a ver si acaso, acaso es cierto o no.
Wa:n tein mochi:w neli wa:le:wato ma:talin.	Y lo que pasó, ciertamente, nació puro ma:talin,
Pos n' ompa neh neli n'neltokak. Ma:talin mokepa de sakat.	Pues fue cuando yo lo creí. El ma:talin nace del zacate.
Mm. A:mo i:pa ma:talin sayoh.	Mm. No era ma:talin.
para mah tikixwalti:tih, para mah wa:le:wati ma:talin. A:mo.	para que hagamos germinar, para que nazca el ma:talin. No es así.
Yo:n ma:talin wa:le:wa de n', de n' patachsakat.	Ese ma:talin nace del patachsakat.
Mm. Yehwa, yehwa yo:n. Mm.	Mm. Eso es, eso es. Mm.
¿Oksé: talna:miki:lis, xa: oksé: tatsi:ntokalis?	¿Algúna otra idea, acaso hay otra pregunta?
Pos wa:n ma:talin, ¿ka:no:n wa:le:wa, deke yo:n sakat mokepa ma:talin oso ke:ní:w?	Pues y el ma:talin, ¿De donde proviene, el ma:talin proviene del zacate o cómo?
¿Yehwa sah?	¿Solamente eso?
Yehwa sah.	Solamente eso.
Ke:mah, sakat, de patachsakat tikilwiah tehwa:n yehwa mokepa ma:talin.	Sí, del zacate, del que le llamamos patachsakat, es el que se convierte en ma:talin.
Yehwa ya mokepa ma:talin.	Es el que se convierte en ma:talin.
Pero a:mo iwki sah, sano ke mah se: kitawi:teki,	Pero no solamente así, sino que se le chapea,
Wa:n yo:n patachsakat mah se: <i>kimontónte:ma</i>, mah se: kiololte:ma seko sah.	Y ese, el patachsakat que se junte en un solo lugar, uno debe amontonarlo en un solo lugar.
Lo amontonamos en un solo lugar 	Tikololte:mati seko sah
wa:n de pe:wa pala:ni a yo:n patachsakat,	y una vez que empieza a descomponerse el patachsakat,
a:mo wa:le:wati ok sakat, sano ke wa:le:wati ma:talin ya.	ya no crece el zacate, sino que ya nace el ma:talin.
po[ri]n sakat. Mm, patachsakat, yehwa yo:ni.	del zacate. Mm, del patachsakat, eso es.
¿Mm. ¿Kwa:ko:n mo:so:t?	¿Mm. Sobre el mo:so:t?
Ka:mpa kito:kah mi:ltsi:n, kito:kah n' tao:ltsi:n, ompa panki:sa nejí:n kiliah mi:lahmo:so:t.	Donde siembran el maíz, ahí nace el mi:lahmo:so:t.
A:xka:n oksé: onkak, onkak oksé: o:me taman, oksé: taman ompa onkak sepa kiliah kwomekamo:so:t.	Ahora, hay otro, hay otro, son dos tipos, ahí hay otro tipo que lo conocen como kwomekamo:so:t.
Yo:n onkak o:me taman, onkak n' tein ista:k n' ixo:chio wa:n onkak n' tein kostik n' ixo:chio.	De ese, hay dos tipos, uno es el que tiene flores blancas y hay con flores amarillas.
Entó:s yo:n para ika kina:ltiah nejó:n no: pahti, yehwa ne:n kwamekamo:so:t,	Entonces, ese es para bañar a los niños, ese es medicinal, ese, el kwamekamo:so:t,
Nochi kwaltia para pahti.	Todo sirve para medicina.
Yehwa nejó:n.	Eso es.
¿Kwamekamo:so:t no:?	¿También el kwamekamo:so:t?
Kwamekamo:so:t.	El kwamekamo:so:t.
¿No: kwaltia para yo:lka:meh,	¿También sirve para los animales,
okwilimeh?	animales?
nejó:n xiwtsí:n.	ese hierbita.
Wa:n kwaltia para pahti.	Y sirve para medicina.
Mm.	Mm.
se: moteki, wa:n para a:mo eski:sas, nejó:n, mah se: kikwi wa:n mah se: kima:xakwalo n' ixiwyo n' kwomekamo:so:t kiliah.	uno se corta y para que uno no sangre, este, agarra uno las hojas del komekamo:so:t y las machaca con las manos.
Yehwa nejó:n nochi kwaltia.	Todo eso sirve.
Yehwa nejó:n.	Eso es.
¿Yo:n para okichpi:pilmeh?	¿Eso es para los niños?
Mmm. ¿Pero tikihtowa no: kwali, no: kwaltia para pati?	Mm. ¿Pero dices que también es bueno, también sirve para medicina?
Para ika ma:lti:skeh. Ke:mah no: kwaltia.	Para que se bañen con ello. Sí, también sirve.
¿Tli:no:n oksé:?	¿Cuál otro?
Oksé: ke:meh itskwinpahwits, pi:na:wits, yehwa n' kwomo:so:t, mi:lahmo:so:t, ne:n, a:tsi:tsika:s, tehtsonkil	Otro como el itskwinpahwits, el pina:wits, ya el kwomo:so:t, el mi:lahmo:so:t, el atsi:tsika:s y la mala mujer.
Nochi n' tein nimitsto:ka:ytilih ekintsi:n yehwa nejó:n nochi kikwih.	Todas las que nombre ahora, todas esas las ocupan.
¿Se: kimana?	¿Se hierven?
Kito:ka:ytiah xiwtanechiko:l.	Lo conocen como xiwtanechiko:l
Se: kimana wa:n mah se: kiketsa kalampa mah se:wi.	Se hierve y que lo pone a reposar afuera de la casa para que se enfrié.
Entó:s de tami se:wi a n' ompa ke:mah kikwih wa:n para ika ma:ltiah ya	Una vez que se enfría, ya lo ocupan para bañarse.
Te:na:miki.	Nos cura.
'Te:chtapowi ekintsi:n Rubén nexkihit,	Ahora cuéntanos Rubén sobre el nexkihit,
ke:niwki n' ixiwyo,	cómo son las hojas,
para miak taman, miak taman tiktatekiwtiah.	para varios, tiene varios usos.
Neh nimono:tsa niRubén Macario.	Yo me llamo Rubén Macario.
Niwa:le:wa Chi:lkowtah,	Vengo de Chilcoutah,
Neh name:chtapowi:ti de n' iswatsí:n, iswat de nexkihiswat.	Yo les voy a contar de la hoja, de la hoja del nexkihit.
Entó:s mah se: kite:mo yo:n n' ita:kilo:tsi:n, mah se: kiteki,	Entonces que uno busque esos frutos, que uno los corte,
wa:n mah se: kipixka.	y se le quite la cáscara.
pe:wa kima:pa:tah.	empiezan a machacar con las manos.
Kima:pa:tah itech a:t.	Con las manos lo machacan en agua.
Kima:pa:tah kwaltsi:n, kwaltsi:n kima:pa:tah, entó:s moka:wa n' iteyo,	Lo disuelven bien, bien, lo disuelven, entonces quedan las semillas,
inakayotsi:n, ipachyotsi:n tikihtowah tehwa:n,	la pulpa, sí, la pulpa, nosotros así le llamamos,
Entó:s kwaltsi:n kichipa:wah, 'ki:xtiliah nochi n' iteyotsi:n wa:n	Entonces lo limpian muy bien, le quitan todas las semillas y
mahyá: seki, mahyá: seki kowtsitsí:n iihtik.	como si fuera, como si fuera un palito que tiene en el centro del fruto.
Entó:s yo:n nochi kikihki:xtiliah.	Entonces, todo eso se lo quitan.
pachti, pachti.	pura pulpa, pulpa.
Se: seko, seko moka:wa n' ia:yotsi:n wa:n seko kita:liah n' inakayotsi:n yehwa yo:n kowtetsí:n.	Se pone en otro recipiente y en otro ponen la pulpa de ese fruto.
Entó:s kikwih, kikwih se:,	Entonces lo agarran, toman un,
t'to:ka:ytiah tatsetselo:lo:ni.	le llamamos cedazo.
nexkihit ia:yotsi:n.	el agua de la pulpa del nexkihit.
Entó:s ki:sa chipa:wak n' a:t.	Entonces, el agua sale libre de impurezas.
Wa:n iteyotsi:n moka:wa paniá:n, itech yo:n, yo:n tepostsí:n nimitsilwia.	Y las semillas quedan sobre el cedazo.
Entó:s para, para a:mo kwi:ka n' iteyo, n' ompa kitsetselowah, moka:wa chipa:wak n' a:t wa:n ke:mah kikwih ya wa:n kipante:kah itech ne:n ko:ntsí:n,	Entonces para que no pase ninguna semilla, lo cernen, el agua queda libre de impurezas y luego ya lo vierten a la olla de barro,
Entós: kikwih ne:n inakayotsi:n yehwa yo:n kowta:kilo:tsi:n, ne:n nexkihit,	Entonces toman la pulpa de los frutos del nexkihit,
o:me, e:yi ixiwyotsi:n de n' pimie:ntah.	dos o tres hojas de pimienta.
Wa:n moka:wa ya, moka:wa ya para se: kimahse:was a yo:n tapalo:ltsí:n ya.	Y ya queda lista la comida, lista para comer la comida. 
Ke:mah. Yo:n tehwa:n, tehwa:n pos,	Sí. Pues nosotros, pues nosotros,
A:xka:n ke:meh tehwa:n tiki:xmattiowih,	Ahora como nosotros vamos conociendo
ke:ní:w n' kimahse:waskeh, ke:ní:w n' kichi:waskeh,	cómo prepararlo para comer,
Nejó:n a:mo [mo]elka:wa.	Eso no se olvida.
¿Ke:yeh?	¿Porqué?
¿Wa:n ke:yeh n' kitelwelitah yo:n xiwtsí:n? Telahwia:k n' tamal, tamaltsín, taxkaltsí:n ki:sa.	¿Y porqué les gusta mucho esa hoja? Los tamales salen muy sabrosos, los tamalitos salen muy sabrosos.
ne:ka to:nal towe:ita:twa:n, tote:iskaltihka:wa:n te:chne:xtilihte:wkeh,	que nuestros abuelos y padres  nos lo enseñaron en aquéllos tiempos,
